date,arrive_num,acuity_avg
7/20/22,261,3.138461538
7/21/22,271,3.146616541
7/22/22,290,3.204152249
7/23/22,232,3.203463203
7/24/22,246,3.158995816
7/25/22,303,3.246666667
7/26/22,242,3.041666667
7/27/22,240,3.106382979
7/28/22,253,3.091269841
7/29/22,240,3.038135593
7/30/22,215,3.102803738
7/31/22,207,3.053658537
8/1/22,271,3.214814815
8/2/22,251,3.143426295
8/3/22,217,3.130232558
8/4/22,261,3.104651163
8/5/22,250,3.126530612
8/6/22,210,3.086124402
8/7/22,216,3.023364486
8/8/22,263,3.2
8/9/22,281,3.276978417
8/10/22,256,3.130434783
8/11/22,278,3.061594203
8/12/22,245,3.215767635
8/13/22,248,3.131147541
8/14/22,256,3.083333333
8/15/22,286,3.20979021
8/16/22,267,3.142857143
8/17/22,290,3.104529617
8/18/22,249,3.12195122
8/19/22,289,3.017482517
8/20/22,243,3.082304527
8/21/22,246,3.204081633
8/22/22,300,3.117056856
8/23/22,307,3.173770492
8/24/22,292,3.140410959
8/25/22,292,3.14532872
8/26/22,271,3.081784387
8/27/22,251,3.108433735
8/28/22,263,3.099616858
8/29/22,315,3.197452229
8/30/22,303,3.139534884
8/31/22,258,3.14453125
9/1/22,268,3.071698113
9/2/22,257,3.098039216
9/3/22,232,3.218340611
9/4/22,241,3.004219409
9/5/22,275,3.163568773
9/6/22,293,3.130584192
9/7/22,274,3.177121771
9/8/22,288,3.063157895
9/9/22,258,3.007751938
9/10/22,242,3.110169492
9/11/22,226,3.133333333
9/12/22,282,3.168458781
9/13/22,280,3.131386861
9/14/22,262,3.119230769
9/15/22,311,3.174757282
9/16/22,265,3.162878788
9/17/22,233,3.068965517
9/18/22,232,3.091304348
9/19/22,271,3.166666667
9/20/22,276,3.197802198
9/21/22,260,3.298449612
9/22/22,266,3.246212121
9/23/22,256,3.15936255
9/24/22,228,3.04845815
9/25/22,265,3.128787879
9/26/22,327,3.13190184
9/27/22,300,3.162162162
9/28/22,298,3.250859107
9/29/22,294,3.228668942
9/30/22,267,3.243346008
10/1/22,230,3.022026432
10/2/22,254,3.115079365
10/3/22,308,3.082508251
10/4/22,253,3.115537849
10/5/22,248,3.199186992
10/6/22,285,3.159010601
10/7/22,275,3.2
10/8/22,240,3.008333333
10/9/22,261,3.169230769
10/10/22,311,3.283870968
10/11/22,298,3.182432432
10/12/22,271,3.154135338
10/13/22,260,3.1484375
10/14/22,254,3.145669291
10/15/22,263,3.114503817
10/16/22,258,3.116731518
10/17/22,311,3.216828479
10/18/22,294,3.237931034
10/19/22,283,3.156028369
10/20/22,274,3.183823529
10/21/22,284,3.209219858
10/22/22,246,3.18442623
10/23/22,250,3.204
10/24/22,298,3.249158249
10/25/22,287,3.176678445
10/26/22,277,3.229090909
10/27/22,303,3.144295302
10/28/22,251,3.157258065
10/29/22,261,3.215384615
10/30/22,267,3.255639098
10/31/22,259,3.233201581
11/1/22,282,3.189285714
11/2/22,285,3.180851064
11/3/22,246,3.1375
11/4/22,292,3.110344828
11/5/22,282,3.228571429
11/6/22,290,3.132404181
11/7/22,332,3.213166144
11/8/22,307,3.198675497
11/9/22,315,3.153354633
11/10/22,302,3.34551495
11/11/22,299,3.208053691
11/12/22,262,3.149425287
11/13/22,280,3.18705036
11/14/22,336,3.189759036
11/15/22,314,3.138709677
11/16/22,300,3.202702703
11/17/22,307,3.185430464
11/18/22,302,3.113333333
